Query,Total Errors,True Positives,False Positives,Errors Acknowledged
cpp/alloca-in-loop,2,0,2,0
cpp/overflowing-snprintf,5,0,5,0
cpp/non-constant-format,2,0,2,0
cpp/toctou-race-condition,2,0,2,0
cpp/unsafe-strcat,1,1,0,0
cpp/missing-check-scanf,14,0,14,0
cpp/potentially-dangerous-function,6,0,6,0
cpp/uncontrolled-process-operation,1,1,0,0
cpp/uncontrolled-allocation-size,1,0,1,0
cpp/comparison-with-wider-type,4,4,0,0
cpp/unbounded-write,4,2,2,0
cpp/overrunning-write,6,3,3,0
cpp/suspicious-pointer-scaling-void,3,0,3,0
cpp/suspicious-pointer-scaling,1,0,1,0
cpp/world-writable-file-creation,3,0,3,0
cpp/path-injection,8,0,8,0
