Query,Total Errors,True Positives,False Positives,Errors Acknowledged
cpp/cleartext-transmission,2,,,
cpp/weak-cryptographic-algorithm,1,,,
cpp/toctou-race-condition,2,,,
cpp/unsafe-strcat,2,,,
cpp/incorrect-not-operator-usage,5,,,
cpp/integer-multiplication-cast-to-long,2,,,
cpp/offset-use-before-range-check,2,,,
cpp/missing-check-scanf,34,,,
cpp/suspicious-allocation-size,1,,,
cpp/potentially-dangerous-function,8,,,
cpp/uncontrolled-process-operation,2,,,
cpp/comparison-with-wider-type,1,,,
cpp/unbounded-write,9,,,
cpp/suspicious-pointer-scaling,21,,,
cpp/invalid-pointer-deref,5,,,
cpp/world-writable-file-creation,4,,,
cpp/path-injection,3,,,
