Query,Total Errors,True Positives,False Positives,Errors Acknowledged
cpp/non-constant-format,1,0,1,0
cpp/incorrectly-checked-scanf,1,0,1,0
cpp/use-after-free,1,0,1,0
cpp/command-line-injection,1,1,0,0
cpp/toctou-race-condition,5,0,5,0
cpp/offset-use-before-range-check,6,,,
cpp/missing-check-scanf,10,,,
cpp/uncontrolled-process-operation,6,,,
cpp/comparison-with-wider-type,1,,,
cpp/world-writable-file-creation,8,,,
cpp/path-injection,47,,,
cpp/potential-system-data-exposure,1,,,
cpp/user-controlled-bypass,3,,,
